node_id,lat,lon,index
168,39.4763762,-0.3932767,1
169,39.4939924,-0.4181993,1
170,39.494098,-0.4187599,1
171,39.466582,-0.4021015,1
172,39.4642072,-0.3921388,1
173,39.4763755,-0.3931601,1
174,39.476244,-0.3930522,1
175,39.4764934,-0.3963985,1
176,39.4765024,-0.3963678,1
177,39.4767686,-0.3957029,1
178,39.4754468,-0.3974554,1
179,39.4755173,-0.3974826,1
180,39.4771823,-0.3938303,1
181,39.4767226,-0.3934803,1
182,39.4768045,-0.3932421,1
183,39.4771777,-0.3924171,1
184,39.4776428,-0.3927696,1
185,39.4801092,-0.3734382,1
186,39.4764786,-0.3961831,1
187,39.4771655,-0.3946748,1
188,39.4770688,-0.3945782,1
189,39.4778702,-0.3915365,1
190,39.4748273,-0.3950962,1
191,39.4751771,-0.3953572,1
192,39.4751337,-0.3941224,1
193,39.4753557,-0.3936004,1
194,39.4752314,-0.3934925,1
195,39.4675583,-0.3686626,1
196,39.4674401,-0.3689393,1
197,39.4763953,-0.3927189,1
198,39.4762157,-0.3925879,1
199,39.4761561,-0.3927182,1
200,39.4761663,-0.3927498,1
201,39.4762408,-0.3927336,1
202,39.4762612,-0.392685,1
203,39.4762913,-0.3927086,1
204,39.4762732,-0.3927579,1
205,39.4764596,-0.3925761,1
206,39.4762567,-0.3924288,1
207,39.4761924,-0.3925709,1
208,39.476251,-0.3925525,1
209,39.4762749,-0.3924943,1
210,39.4763442,-0.3926217,1
211,39.4763198,-0.3922867,1
212,39.4763135,-0.3924097,1
213,39.4763402,-0.3923544,1
214,39.4759714,-0.3918832,1
215,39.4759873,-0.3918515,1
216,39.4760154,-0.3928975,1
217,39.4760793,-0.392745,1
218,39.4761029,-0.3928278,1
219,39.4760894,-0.3928188,1
220,39.4760747,-0.3928494,1
221,39.4760863,-0.3928589,1
222,39.4758652,-0.3926292,1
223,39.4758939,-0.3926527,1
224,39.4759082,-0.3926362,1
225,39.4759423,-0.3926583,1
226,39.475931,-0.3926853,1
227,39.4759366,-0.3927437,1
228,39.4759235,-0.3927805,1
229,39.4759369,-0.3927869,1
230,39.4759516,-0.3927526,1
231,39.4759935,-0.3927314,1
232,39.4760059,-0.3927056,1
233,39.4760372,-0.3927272,1
234,39.4887339,-0.4025371,1
235,39.4886486,-0.402541,1
236,39.478117,-0.3948558,1
237,39.4781788,-0.3948263,1
238,39.4683048,-0.3627133,1
239,39.4771973,-0.3918712,1
240,39.4764038,-0.3936269,1
241,39.4764593,-0.3938898,1
242,39.4764003,-0.3940192,1
243,39.4771803,-0.3913939,1
244,39.4773585,-0.3912899,1
245,39.4764943,-0.3932294,1
246,39.4769855,-0.3919038,1
247,39.4755234,-0.3956658,1
248,39.4755605,-0.3955057,1
249,39.4765221,-0.3932553,1
250,39.4771775,-0.3946834,1
