node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
4384,39.4828061,-0.3532438,,,,apartments,13,,,,,,,
4385,39.4825177,-0.3576118,,,,,3,,,,,,,
4386,39.4860561,-0.355856,,,,detached,2,,,,,,,
4387,39.4860252,-0.3561174,,,,detached,2,,,,,,,
4388,39.4865639,-0.356516,,,,apartments,6,,,,,,,
4389,39.3764594,-0.3311675,,,,,,,,,,,1.63E-08,1.172789116
4390,39.2971462,-0.2880075,,,,,,,,,,,1.42E-07,1.779523693
4391,39.2980824,-0.2887009,,,,,,,,,,,1.42E-07,1.779332351
4392,39.297551,-0.2885332,,,,,,,,,,,9.41E-08,1.548232475
4393,39.2984747,-0.2890472,,,,,,,,,,,9.41E-08,1.548232475
4394,39.4591815,-0.3439757,,,,,,,,,,,,
4395,39.4666698,-0.3564141,,,,residential,10,,,,,,,
4396,39.4663731,-0.3552486,60,46023,Avinguda del Port,retail,8,,,,hotel,,,
4397,39.4662898,-0.3546428,,,,residential,2,,,,,,,
4398,39.4661154,-0.3541615,,,,residential,7,,,,,,,
4399,39.4660818,-0.354022,,,,residential,4,,,,,,,
4400,39.4661091,-0.3539465,,,,residential,3,,,,,,,
4401,39.4660537,-0.3539013,,,,residential,2,,,,,,,
4402,39.4659999,-0.3536571,,,,residential,7,,,,,,,
4403,39.4659006,-0.3532129,,,,residential,2,,,,,,,
4404,39.4658503,-0.3530513,,,,residential,5,,,,,,,
4405,39.465814,-0.3529269,,,,residential,6,,,,,,,
4406,39.4719153,-0.3713566,22,46003,Carrer de la Nau,language_school,,,,,,,,
4407,39.4676607,-0.3725243,10,46004,Carrer de Pizarro,language_school,,,,,,,3.57E-08,1.519410319
4408,39.3082387,-0.317987,,,,,,,,,,,6.79E-08,0.476084041
4409,39.3082642,-0.3183749,,,,,,,,,,,1.67E-07,0.960404751
4410,39.310416,-0.3181664,,,,restaurant,,,,,,,1.81E-08,1.841221374
4411,39.3097408,-0.3181054,,,,restaurant,,,,,,,1.61E-08,2.407172996
4412,39.3117868,-0.3179832,,,,,,,,,,,2.75E-08,5.994645248
4413,39.3117083,-0.3179872,,,,,,,,,,,4.53E-08,3.789649416
4414,39.3127934,-0.3179089,,,,,,,,,,,2.86E-08,1.092248908
4415,39.3127658,-0.3182269,,,,,,,,,,,3.30E-09,1.070671378
4416,39.3137763,-0.3173893,,,,,,,,,,,5.35E-08,4.441016334
4417,39.312818,-0.3193575,,,,restaurant,,,,,,,1.10E-07,1.134376846
4418,39.3128768,-0.3195018,,,,,,,,,,,9.70E-09,0.489061397
4419,39.3120244,-0.3196758,,,,,,,,,attraction,,4.06E-08,2.3795053
4420,39.3078722,-0.3140016,,,,,,,,,,,3.25E-08,0.950806118
4421,39.3076097,-0.3138099,,,,,,,,,,,1.11E-08,0.787878788
4422,39.3076327,-0.3157492,,,,,,,,,,,1.10E-08,1.122073579
4423,39.3046491,-0.3157589,,,,,,,,,,,7.94E-09,1.541666667
4424,39.3047181,-0.3156131,,,,,,,,,,,3.06E-09,1.888392857
4425,39.3114471,-0.3178865,,,,restaurant,,,,,,,1.65E-08,3.576
4426,39.3113766,-0.3178131,,,,restaurant,,,,,,,7.52E-09,1.469038208
4427,39.3115693,-0.3175851,,,,,,,,,attraction,,8.30E-09,2.430441899
4428,39.3114745,-0.3175839,,,,,,,,,,,1.01E-08,2.385630498
4429,39.3114085,-0.3175872,,,,,,,,,,,1.10E-08,2.205683356
4430,39.3113347,-0.317591,,,,,,,,,,,1.25E-08,1.960431655
4431,39.3112458,-0.3175956,,,,,,,,,,,1.59E-08,1.579654511
4432,39.3111612,-0.3176,,,,,,,,,,,1.12E-08,2.17623498
4433,39.3110736,-0.3176039,,,,,,,,,,,1.62E-08,1.483227561
4434,39.3109255,-0.3176412,,,,,,,,,,,9.47E-09,1.987119438
4435,39.3103641,-0.3179705,,,,,,,,,,,1.32E-08,1.900649954
4436,39.3119242,-0.3172962,,,,restaurant,,,,,,,1.59E-08,2.206349207
4437,39.3096672,-0.3180952,,,,pharmacy,,,,,,,1.18E-08,2.371536524
4438,39.3096107,-0.3180704,,,,,,,,,,,4.94E-09,2.344294004
4439,39.3096213,-0.318194,,,,,,,,,,,5.53E-09,2.574906367
4440,39.3096822,-0.3182863,,,,,,,,,,,1.32E-08,2.656019656
4441,39.3095778,-0.3181793,,,,,,,,,,,1.47E-08,4.59020979
4442,39.309498,-0.3182234,,,,,,,,,,,4.44E-08,2.901849218
4443,39.309365,-0.3182388,,,,,,,,,,,1.97E-08,4.623952096
4444,39.3092956,-0.318118,,,,,,,,,,,8.00E-09,1.711462451
4445,39.3092991,-0.3183135,,,,,,,,,,,1.07E-08,4.422077922
4446,39.3092362,-0.3181963,,,,,,,,,,,1.72E-08,3.082568807
4447,39.3092523,-0.3183912,,,,,,,,,,,8.61E-09,1.806535948
4448,39.3090517,-0.3182809,,,,,,,,,,,1.45E-08,3.018154312
4449,39.3093688,-0.3175039,,,,townhall,,,,,,,1.69E-08,3.63233533
4450,39.309399,-0.3174746,,,,,,,,,,,3.01E-08,2.275907591
4451,39.3092331,-0.3174902,,,,,,,,,,,1.66E-08,3.95
4452,39.3092943,-0.317482,,,,,,,,,,,1.30E-08,3.847071583
4453,39.3091759,-0.3175929,,,,,,,,,,,7.94E-09,2.527488856
4454,39.3091173,-0.3175088,,,,,,,,,,,1.67E-08,4.254807692
4455,39.3091537,-0.3173824,,,,,,,,,,,4.43E-09,2.292246521
4456,39.3091832,-0.3173899,,,,,,,,,,,2.59E-09,4.260317461
4457,39.3090012,-0.3176395,,,,,,,,,,,7.49E-09,1.998556999
4458,39.3090563,-0.3175921,,,,,,,,,,,1.23E-08,2.655472637
4459,39.3090636,-0.3175136,,,,,,,,,,,1.48E-08,3.872080089
4460,39.4705761,-0.3735013,,,,,,,,,,,,
4461,39.4706889,-0.3731479,,,,,,,,,,,,
4462,39.470415,-0.3719957,,,,,,,,,,,,
4463,39.4706901,-0.3719815,,,,,,,,,,,,
4464,39.4709618,-0.3719658,,,,,,,,,,,,
4465,39.4704368,-0.3722719,,,,,,,,,,,,
4466,39.4705704,-0.3722709,,,,,,,,,,,,
4467,39.4707021,-0.3723087,,,,,,,,,,,,
4468,39.4707031,-0.372129,,,,,,,,,,,,
4469,39.4708406,-0.3722676,,,,,,,,,,,,
4470,39.4711044,-0.3722334,,,,,,,,,,,,
4471,39.4711707,-0.3722596,,,,,,,,,,,,
4472,39.4710871,-0.371949,,,,,,,,,,,,
4473,39.4713317,-0.3719306,,,,,,,,,,,,
4474,39.471187,-0.3719399,,,,,,,,,,,,
4475,39.4715585,-0.3714519,,,,,,,,,,,,
4476,39.4716062,-0.3714132,,,,,,,,,,,,
