0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
@type,@id,@lat,@lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,building:levels,buliding:use,denomination,historic,landuse,leisure,tourism,amenity,sport,area
way,61375250,28.4996784,-81.4295204,,,,,,yes,,,,,,,,,,3.532959453877993e-07
way,61375251,28.4981002,-81.4304656,Orlando,,4405,32811,Vineland Road,commercial,,,,,,,,,,1.655041614867514e-07
way,61375252,28.5008724,-81.4283468,,,,,,yes,,,,,,,,,,2.368828972976189e-07
way,61375253,28.5000436,-81.4308164,,,,,,yes,,,,,,,,,,2.5780809664865956e-07
way,61375254,28.5010353,-81.4294840,,,,,,yes,,,,,,,,,,2.0004267753392924e-07
way,61375255,28.4923568,-81.4272187,Orlando,,4000,32839,Millenia Boulevard,yes,,,,,,,,,,6.418297289201291e-07
way,61375256,28.4987178,-81.4313571,,,,,,commercial,,,,,,,,,,2.577398845460266e-07
way,61375257,28.5005375,-81.4324716,,,,,,yes,,,,,,,,,,7.335611371672712e-07
way,61375258,28.4953052,-81.4303682,,,,,,yes,,,,,,,,,,1.08705171442125e-06
way,61375259,28.5008799,-81.4286517,,,,,,yes,,,,,,,,,,2.46661556957406e-07
way,61375260,28.4947950,-81.4273603,,,,,,yes,,,,,,,,,,9.61406612987048e-07
way,61375261,28.4997026,-81.4299373,,,,,,yes,,,,,,,,,,2.0807101464015432e-07
way,61375262,28.4932649,-81.4306846,Orlando,,4750,,Millenia Plaza Way,yes,,,,,,,,,,1.6446626887045568e-06
way,61375263,28.4964402,-81.4292850,,,,,,yes,,,,,,,,,,1.7592628864804283e-07
way,61375265,28.4984296,-81.4308456,,,,,,commercial,,,,,,,,,,2.522770046198275e-07
way,61375266,28.5009510,-81.4301696,,,,,,yes,,,,,,,,,,2.1070127331768163e-07
way,61375268,28.4892818,-81.4338815,,,,,,yes,,,,,,,,,,3.810650923696812e-07
way,61375269,28.4989986,-81.4316324,,,,,,commercial,,,,,,,,,,2.61871718976181e-07
way,61375271,28.4966091,-81.4273616,,,,,,yes,,,,,,,,,,1.1987849575234577e-06
way,61375272,28.4997901,-81.4305449,,,,,,yes,,,,,,,,,,2.773431333480403e-07
way,66703403,28.4726171,-81.4743390,,,,,,yes,,,,,,,,,,6.133768692961894e-08
way,67571409,28.5438333,-81.3751925,,,,,,yes,,,,,,,,,,
way,67594602,28.5362463,-81.3768891,Orlando,,525,,Magnolia Avenue,yes,,,,,,,,,,
way,67595131,28.5368332,-81.3769848,Orlando,,100,,Anderson Street,apartments,,,,,,,,,,
way,67595133,28.5372025,-81.3791653,Orlando,,450,,South Orange Avenue,yes,,,,,,,,,,
way,67595208,28.5381060,-81.3797376,Orlando,,420,,South Orange Avenue,yes,,,,,,,,,,
way,69545809,28.5599971,-81.3781222,,,,,,yes,,,,,,,,,,
way,69708691,28.5423485,-81.3814273,Orlando,,135,,Central Boulevard,yes,,,,,,,,bank,,
way,69709330,28.5449436,-81.3812538,,,,,,yes,,,,,,,,,,
way,69709331,28.5452783,-81.3816549,,,,,,yes,,,,,,,,,,
way,69709332,28.5454562,-81.3813801,,,,,,yes,,,,,,,,,,
way,69709333,28.5454736,-81.3816548,,,,,,yes,,,,,,,,,,
way,69709345,28.5458680,-81.3816996,Orlando,,133,,Robinson Street,yes,,,,,,,,,,
way,69709386,28.5461713,-81.3815093,,,,,,yes,,,,,,,,,,
way,69709472,28.5472742,-81.3810673,Orlando,,100,,Livingston Street,yes,,,,,,,,,,
way,69709473,28.5469788,-81.3810670,,,,,,yes,,,,,,,,place_of_worship,,
way,72169896,28.4639457,-81.4753067,,,,,,office,,,,,,,,,,3.534796633175574e-08
way,72169903,28.4626616,-81.4753000,,,,,,office,2,,,,,,,,,3.5956645660917275e-08
way,72169905,28.4625672,-81.4772042,,,,,,yes,,,,,,,,,,8.710389920452144e-08
way,72175095,28.4616623,-81.4753162,,,,,,yes,,,,,,,,,,2.5821623239608016e-07
way,72209920,28.4719434,-81.4691812,,,,,,yes,,,,,,,,,,1.3199041859479621e-08
way,72209926,28.4717006,-81.4680724,,,,,,yes,,,,,,,,,,3.194099917891435e-08
way,72209949,28.4723170,-81.4686292,,,,,,yes,,,,,,,,,,5.854121809534263e-08
way,72209960,28.4729181,-81.4628012,,,,,,yes,,,,,,,,,,2.3579900698678102e-07
way,76734482,28.5259078,-81.3816500,Orlando,,1400,32806,Sligh Boulevard,train_station,,,,,,,,,,
way,76736375,28.5573693,-81.3773738,,,,,,yes,,,,,,,,social_facility,,
way,77079183,28.5730303,-81.3843191,,,,,,yes,,,,,,,,,,
way,77080442,28.5615586,-81.3606908,,,,,,yes,,,,,,,,,,
way,77080443,28.5618566,-81.3607253,,,,,,yes,,,,,,,,,,
way,77082320,28.5452288,-81.4381591,,,,,,yes,,,,,,,,community_centre,,
way,77082549,28.5201045,-81.4210223,,,,,,yes,,,,,,,,community_centre,,
way,77082570,28.5426168,-81.3576101,,,,,,yes,,,,,,,,community_centre,,
way,77082610,28.5317031,-81.3754000,,,,,,yes,,,,,,,,,,
way,77083014,28.5485322,-81.4077550,,,,,,yes,,,,,,,,community_centre,,
way,77431415,28.5393209,-81.3777951,,,,,,parking,,,,,,,,parking,,
way,78597354,28.5480119,-81.3841185,Orlando,,401,32801,W Livingston Street,yes,,,,,leisure,,,arts_centre,,
way,78598682,28.5504830,-81.3848065,,,,,,parking,,,,,,,,parking,,
way,80539492,28.5499065,-81.3847853,,,,,,yes,,,,,,,,,,
way,80539511,28.5503004,-81.3837374,Orlando,,301,32801,W Amelia Street,yes,,,,,,,,school,,
way,80540318,28.5489239,-81.3841852,Orlando,,398,,Amelia Street,yes,,,,,,,,,,
way,80540564,28.5492134,-81.3836979,,,,,,yes,,,,,,,,,,
way,80579969,28.5436226,-81.3815252,Orlando,,99,,Garland Avenue,yes,,,,,,,,,,
way,80581091,28.5409427,-81.3812702,Orlando,,101,,Garland Avenue,yes,,,,,,,,,,
way,80581099,28.5405252,-81.3813707,,,,,,yes,,,,,,,,restaurant,,
way,80581100,28.5404945,-81.3815272,Orlando,,129,,Church Street,yes,,,,,,,,restaurant,,
way,80581101,28.5405168,-81.3811959,,,,,,yes,,,,,,,,,,
way,80581159,28.5405246,-81.3809813,,,,,,yes,,,,,,,,,,
way,80581197,28.5399985,-81.3813895,Orlando,,128,,Church Street,yes,,,,,,,,bar,,
way,80581260,28.5398506,-81.3812207,,,,,,yes,,,,,,,,,,
way,80581261,28.5395382,-81.3811036,Orlando,,225,,Garland Avenue,yes,,,,,,,,,,
way,80591328,28.5365668,-81.3778899,Orlando,,520,,Magnolia Avenue,yes,,,,,,,,,,
way,80591597,28.5359262,-81.3763706,Orlando,,125,,Lucerne Circle North,yes,,,,,,,,,,
way,80591901,28.5358387,-81.3755743,,,,,,yes,,,,,,,,,,
way,80591903,28.5359450,-81.3753029,,,,,,yes,,,,,,,,,,
way,80591905,28.5356098,-81.3754308,Orlando,,211,,Lucerne Circle North,yes,,,,,,,hotel,,,
way,80591907,28.5355117,-81.3750543,Orlando,,500,,Delaney Avenue,yes,,,,,,,,,,
way,80591909,28.5361630,-81.3750563,Orlando,,496,,Delaney Avenue,yes,,,,,,,,,,
way,80591912,28.5358773,-81.3759333,Orlando,,135,,Lucerne Circle North,yes,,,,,,,,,,
way,80595288,28.5357718,-81.3750801,,,,,,yes,,,,,,,,parking,,
way,80607064,28.5376161,-81.3744908,,,,,,yes,,,,,,,,parking,,
way,80608536,28.5382087,-81.3754981,Orlando,,401,,Rosalind Avenue,yes,,,,,,,,,,
way,80641778,28.5405564,-81.3792466,Orlando,,190,,South Orange Avenue,yes,,,,,,,,college,,
way,80641779,28.5406371,-81.3793404,Orlando,,130,,South Orange Avenue,yes,,,,,,,,,,
way,80642277,28.5408816,-81.3792506,,,,,,yes,,,,,,,,,,
way,80642464,28.5409650,-81.3792517,Orlando,,114,,South Orange Avenue,yes,,,,,,,,,,
way,80642465,28.5410590,-81.3792529,Orlando,,110,,South Orange Avenue,yes,,,,,,,,,,
way,80643085,28.5411740,-81.3792543,Orlando,,100,,South Orange Avenue,yes,,,,,,,,,,
way,80643264,28.5414672,-81.3795076,,,,,,yes,,,,,,,,,,
way,80643265,28.5416275,-81.3792440,Orlando,,24,,South Orange Avenue,yes,,,,,,,,,,
way,80643267,28.5418734,-81.3792490,Orlando,,2,,South Orange Avenue,yes,,,,,,,,bank,,
way,80643526,28.5418427,-81.3786854,Orlando,,1,,South Orange Avenue,yes,,,,,,,,,,
way,80643527,28.5416792,-81.3787604,Orlando,,17,,South Orange Avenue,yes,,,,,,,,,,
way,80643528,28.5415984,-81.3788196,Orlando,,21,,South Orange Avenue,yes,,,,,,,,fast_food,,
way,80643529,28.5417628,-81.3787613,Orlando,,15,,South Orange Avenue,yes,,,,,,,,,,
way,80643537,28.5415022,-81.3785349,,,17,,Pine Street,yes,,,,,,,,,,
way,80643548,28.5415004,-81.3787493,Orlando,,29,,South Orange Avenue,yes,,,,,,art_gallery,,,,
way,80644892,28.5422887,-81.3787988,Orlando,,1,,North Orange Avenue,yes,,,,,,,,,,
way,80644893,28.5424679,-81.3787997,,,,,,yes,,,,,,,,,,
way,80644896,28.5425566,-81.3794873,Orlando,,20,,North Orange Avenue,yes,,,,,,,,,,
way,80644900,28.5429874,-81.3793825,Orlando,,46,,North Orange Avenue,yes,,,,,,,,nightclub,,
way,80644902,28.5432692,-81.3793667,,,,,,yes,,,,,,,,,,
way,80645286,28.5430550,-81.3788429,Orlando,,49,,North Orange Avenue,yes,,,,,,,,bar,,
way,80645287,28.5433450,-81.3788163,,,,,,yes,,,,,,,,,,
way,80645288,28.5431597,-81.3788071,,,,,,yes,,,,,,,,,,
way,80645291,28.5428440,-81.3788041,Orlando,,37,,North Orange Avenue,yes,11,,,,,,,,,
way,80646539,28.5443122,-81.3788169,Orlando,,131,,North Orange Avenue,yes,,,,,,,,,,
way,80646541,28.5442969,-81.3795420,Orlando,,150,,North Orange Avenue,yes,,,,,,,,bank,,
way,80646545,28.5437655,-81.3793285,Orlando,,104,,North Orange Avenue,yes,,,,,,,,,,
way,80646557,28.5438076,-81.3787666,Orlando,,111,32801,North Orange Avenue,yes,,,,,,,,bank,,
way,80647630,28.5439911,-81.3794063,Orlando,,120,,North Orange Avenue,yes,,,,,,,,,,
way,80648738,28.5452062,-81.3794316,Orlando,,250,,North Orange Avenue,yes,,,,,,,,bank,,
way,80648742,28.5450916,-81.3786882,Orlando,,215,,North Orange Avenue,yes,,,catholic,,,,,place_of_worship,,
way,80651819,28.5469531,-81.3788490,,,,,,yes,,,,,,,,,,
way,80651820,28.5467955,-81.3787823,Orlando,,355,,North Orange Avenue,yes,,,,,,,,bank,,
way,80651858,28.5465272,-81.3786931,Orlando,,351,,North Orange Avenue,yes,,,,,,,,,,
way,80651859,28.5463229,-81.3788143,Orlando,,327,,North Orange Avenue,yes,,,,,,,,,,
way,80651860,28.5464450,-81.3788148,,,,,,yes,,,,,,,,,,
way,80651868,28.5458790,-81.3787952,,,,,,yes,,,,,,,,,,
way,80651869,28.5461125,-81.3788238,Orlando,,317,,North Orange Avenue,yes,,,,,,,,,,
way,80653056,28.5499655,-81.3795344,Orlando,,500,,North Orange Avenue,yes,,,,,,,,,,
way,80653057,28.5498090,-81.3805359,Orlando,,63,,Amelia Street,yes,,,,,,,,,,
way,80653058,28.5495527,-81.3801041,Orlando,,47,,Amelia Street,yes,,,,,,,,bar,,
way,80655194,28.5470957,-81.3795612,Orlando,,390,,North Orange Avenue,office,,,,,,,,,,
way,80655197,28.5467788,-81.3805054,,,,,,yes,,,,,,,,,,
way,80668821,28.5419830,-81.3773197,Orlando,,100,,Central Boulevard,yes,,,,,,,,bar,,
way,80668822,28.5416550,-81.3772484,Orlando,,25,,Magnolia Avenue,yes,,,,,,,,restaurant,,
way,80668823,28.5419870,-81.3771698,,,,,,yes,,,,,,,,,,
way,80668826,28.5417676,-81.3772498,Orlando,,17,,Magnolia Avenue,yes,,,,,,,,,,
way,80668827,28.5418433,-81.3772508,Orlando,,7,,Magnolia Avenue,yes,,,,,,,,,,
way,80668830,28.5414405,-81.3772283,Orlando,,39,,Magnolia Avenue,yes,,,,,,art_gallery,,,,
way,80668831,28.5415038,-81.3772580,Orlando,,37,,Magnolia Avenue,yes,,,,,,,,,,
way,80668843,28.5416082,-81.3778949,,,,,,yes,,,,,,,,,,
way,80668845,28.5414868,-81.3778935,,,,,,yes,,,,,,,,,,
way,80668846,28.5415230,-81.3776310,Orlando,,30,,Magnolia Avenue,yes,,,,,,,,,,
way,80668847,28.5419298,-81.3777538,Orlando,,50,,Central Boulevard,yes,,,,,,,,,,
way,80668848,28.5417315,-81.3777516,,,,,,yes,,,,,,,,,,
way,80668893,28.5415217,-81.3777756,,,63,,Pine Street,restaurant,,,,,,,,,,
way,80670107,28.5393909,-81.3770626,,,,,,yes,,,,,,,,,,
way,80670446,28.5444120,-81.3778884,,,,,,yes,,,,,,,,,,
way,80670447,28.5437451,-81.3778946,,,,,,yes,,,,,,,,,,
way,80670451,28.5441423,-81.3772651,Orlando,,127,,Magnolia Avenue,yes,,,,,,,,,,
way,80670455,28.5444399,-81.3772840,Orlando,,145,,Magnolia Avenue,yes,,,,,,,,,,
way,80670456,28.5441823,-81.3777960,,,,,,yes,,,,,,,,,,
way,80670457,28.5441889,-81.3780948,,,,,,yes,,,,,,,,,,
way,80670458,28.5432321,-81.3771079,Orlando,,45,,Magnolia Avenue,yes,6,,,,,,,,,
way,80670459,28.5438716,-81.3771033,Orlando,,111,,Magnolia Avenue,yes,,,,,,,,,,
way,80670461,28.5442319,-81.3771156,Orlando,,135,,Magnolia Avenue,yes,,,,,,,,,,
way,80670768,28.5450451,-81.3769262,,,,,,yes,,,,,,,,,,
way,80670769,28.5454785,-81.3772594,Orlando,,100,,Robinson Street,yes,,,,,,,,,,
way,80670773,28.5449520,-81.3772751,Orlando,,213,,Magnolia Avenue,yes,,,,,,art_gallery,,,,
way,80670775,28.5452230,-81.3772535,,,,,,yes,,,,,,,,,,
way,80670776,28.5450800,-81.3773166,Orlando,,219,,Magnolia Avenue,yes,,,,,,,,,,
way,80670777,28.5448042,-81.3772398,Orlando,,201,,Magnolia Avenue,yes,,,,,,,,public_building,,
way,80670778,28.5450040,-81.3772498,Orlando,,217,,Magnolia Avenue,yes,,,,,,,,cafe,,
way,80670779,28.5451541,-81.3778815,Orlando,,50 E,32801,Robinson Street,church,,,,,,,,,,
way,80670780,28.5448977,-81.3772406,Orlando,,211,,Magnolia Avenue,yes,,,,,,,,,,
way,80671018,28.5464782,-81.3772761,Orlando,,319,,Magnolia Avenue,yes,,,,,,,,,,
way,80671019,28.5470904,-81.3777828,Orlando,,338,,Magnolia Avenue,yes,,,,,,,,,,
way,80671023,28.5460026,-81.3772362,Orlando,,105,,Robinson Street,yes,,,,,,,,,,
way,80671025,28.5467026,-81.3778065,Orlando,,326,,Magnolia Avenue,yes,,,,,,,,,,
way,80671028,28.5469290,-81.3778221,Orlando,,332,,Magnolia Avenue,yes,,,,,,,,,,
way,80671029,28.5458859,-81.3782003,,,,,,yes,,,,,,,,,,
way,80671030,28.5458934,-81.3779671,,,,,,yes,,,,,,,,,,
way,80671032,28.5465053,-81.3779764,Orlando,,320,,Magnolia Avenue,yes,,,,,,,,,,
way,80671033,28.5459575,-81.3777493,Orlando,,47 E,32801,Robinson Street,yes,,,,,,,,post_office,,
way,80671034,28.5459453,-81.3783928,,,,,,yes,,,,,,,,,,
way,80671213,28.5473423,-81.3784499,Orlando,,30,,Robinson Street,yes,,,,,,,,,,
way,80858262,28.5415114,-81.3784481,,,25,,Pine Street,yes,,,,,,,,,,
way,80858263,28.5414868,-81.3783540,,,29,,Pine Street,yes,,,,,,,,,,
way,80858264,28.5419125,-81.3782500,,,,,,yes,,,,,,,,,,
way,80858346,28.5422925,-81.3784410,,,,,,yes,,,,,,,,,,
way,80858347,28.5422918,-81.3785826,,,,,,yes,,,,,,,,,,
way,80858348,28.5414885,-81.3781521,,,,,,yes,,,,,,,,,,
way,80858349,28.5414875,-81.3782716,,,,,,yes,,,,,,,,,,
way,80858350,28.5414863,-81.3784086,,,27,,Pine Street,yes,,,,,,,,,,
way,80858351,28.5424845,-81.3785860,,,,,,yes,,,,,,,,,,
way,80858352,28.5424851,-81.3784629,,,,,,yes,,,,,,,,,,
way,80858720,28.5432166,-81.3785276,,,,,,yes,,,,,,,,,,
way,80859082,28.5444641,-81.3769000,,,,,,yes,,,,,,,,,,
way,80859083,28.5444416,-81.3770523,,,,,,yes,,,,,,,,,,
way,80859088,28.5430987,-81.3766949,,,,,,yes,,,,,,,,,,
way,80859090,28.5431103,-81.3761246,,,,,,yes,,,,,,,,,,
way,80859093,28.5434209,-81.3761996,,,,,,yes,,,,,,,,,,
way,80859109,28.5454530,-81.3769666,,,,,,yes,,,,,,,,,,
way,80860023,28.5443268,-81.3763530,,,,,,yes,,,,,,,,,,
way,80860024,28.5451318,-81.3763812,,,,,,yes,,,,,,,,,,
way,80860025,28.5454201,-81.3754106,,,,,,yes,13,,,,,,,bank,,
way,80860026,28.5459413,-81.3762664,,,,,,yes,,,,,,,,,,
way,80860027,28.5463088,-81.3763543,,,,,,parking,,,,,,,,parking,,
way,80860059,28.5417520,-81.3768529,Orlando,,,,,parking,,,,,,,,parking,,
way,80860061,28.5408690,-81.3762098,,,,,,yes,,,,,,,,place_of_worship,,
way,80861844,28.5424287,-81.3753057,,,,,,yes,,,,,,,,,,
way,80861861,28.5417512,-81.3755161,,,,,,yes,7,,,,,,hotel,,,
way,80861865,28.5417883,-81.3748851,,,,,,yes,15,,,,,,,,,
way,80861868,28.5408833,-81.3742686,,,,,,yes,,,,,,,,parking,,
way,80861872,28.5405946,-81.3750016,,,,,,roof,,,,,,,,,,
way,80861893,28.5426987,-81.3755522,,,,,,yes,,,,,,,,,,
way,80861897,28.5424207,-81.3757052,,,,,,yes,,,,,,,,,,
way,80861900,28.5424230,-81.3755394,,,,,,yes,4,,,,,,,,,
way,80862933,28.5387684,-81.3750532,Orlando,,300,,Liberty Avenue,yes,,,,,,,,parking,,
way,80871721,28.5464883,-81.3805747,,,,,,yes,,,,,,,,,,
way,80871942,28.5454019,-81.3804862,,,,,,yes,,,,,,,,,,
way,80871945,28.5454477,-81.3802195,,,,,,yes,,,,,,,,,,
way,80871947,28.5449127,-81.3804346,,,,,,yes,,,,,,,,,,
way,80872096,28.5440891,-81.3804547,Orlando,,62,,Jefferson Street,yes,,,,,,,,parking,,
way,80872097,28.5431309,-81.3799915,,,,,,yes,,,,,,,,parking,,
way,80872098,28.5431420,-81.3804418,Orlando,,50,,Washington Street,yes,,,,,,,,parking,,
way,80872099,28.5425433,-81.3804329,Orlando,,55,,Central Boulevard,yes,,,,,,,,parking,,
way,80872493,28.5418046,-81.3795130,,,,,,parking,,,,,,,,parking,,
way,80872494,28.5415394,-81.3799809,Orlando,,37,32801,West Pine Street,yes,,,,,,,,,,
way,80872495,28.5415124,-81.3801971,,,,,,yes,,,,,,,,,,
way,80872496,28.5419091,-81.3800446,,,,,,yes,,,,,,,,,,
way,80872497,28.5416765,-81.3804157,Orlando,,78,,Central Boulevard,yes,,,,,,,,fire_station,,
