id,lon,lat
156,-84.335034,33.739998
157,-84.333412,33.739987
158,-84.332125,33.739947
159,-84.3295,33.7398547
160,-84.32238,33.739703
161,-84.3212764,33.7397656
162,-84.3209991,33.7398821
163,-84.3198939,33.7402301
164,-84.31389,33.740143
165,-84.311123,33.740061
166,-84.3096836,33.7400483
167,-84.3004314,33.7398231
168,-84.2994447,33.7397864
169,-84.2954741,33.7395041
170,-84.291139,33.738892
171,-84.341959,33.745215
172,-84.341976,33.7442623
173,-84.3314138,33.7566599
174,-84.331266,33.760228
175,-84.3311717,33.7608081
176,-84.3310256,33.7615064
177,-84.330362,33.762151
178,-84.3300967,33.7631386
179,-84.330094,33.763754
180,-84.330105,33.764004
181,-84.330119,33.764848
182,-84.3491224,33.7601562
183,-84.3481783,33.7605163
184,-84.3469284,33.7608241
185,-84.3455443,33.7610671
186,-84.3432857,33.7614733
187,-84.341818,33.7617965
188,-84.3371008,33.7624708
189,-84.3351548,33.7625132
190,-84.3340846,33.7623827
191,-84.3335482,33.7622679
192,-84.3329755,33.7621118
193,-84.332203,33.7618877
194,-84.32938,33.7607895
195,-84.3282897,33.7604026
196,-84.3255244,33.7602918
197,-84.3241712,33.7605442
198,-84.3225766,33.761289
199,-84.3215091,33.7619189
200,-84.3198152,33.7629271
201,-84.3180423,33.7639737
202,-84.3170003,33.7645657
203,-84.3164692,33.7647954
204,-84.347177,33.768031
205,-84.3459573,33.7679314
206,-84.3446228,33.7962328
207,-84.3446891,33.7964527
208,-84.345956,33.796639
209,-84.3097113,33.7510658
210,-84.30976,33.752392
211,-84.337485,33.7494472
212,-84.333205,33.7494211
213,-84.3354281,33.7740335
214,-84.3350329,33.7744716
215,-84.3344876,33.7744869
216,-84.334288,33.774322
217,-84.334222,33.774267
218,-84.334173,33.774118
219,-84.333476,33.774139
220,-84.3337876,33.7757711
221,-84.308212,33.752393
222,-84.3067009,33.7524028
223,-84.304671,33.752381
224,-84.3457995,33.7422854
225,-84.348425,33.787564
226,-84.334164,33.764846
227,-84.334145,33.767468
228,-84.334163,33.768993
229,-84.334163,33.770513
230,-84.334163,33.771647
231,-84.3331986,33.7490947
232,-84.33182,33.749094
233,-84.330438,33.749078
234,-84.3355045,33.747496
235,-84.335544,33.748311
236,-84.3332163,33.7488145
237,-84.32848,33.749098
238,-84.327215,33.749123
239,-84.3481,33.7986693
240,-84.3480408,33.8050717
241,-84.292229,33.751624
242,-84.292288,33.750689
243,-84.292315,33.748747
244,-84.2921324,33.7473318
245,-84.292042,33.747054
246,-84.291533,33.745909
247,-84.3141428,33.7500794
248,-84.3141482,33.7490669
249,-84.3141321,33.7482551
250,-84.314134,33.747311
251,-84.3458382,33.7475729
252,-84.3475836,33.7463436
253,-84.31749,33.7511169
254,-84.317439,33.753203
255,-84.317379,33.755236
256,-84.3067025,33.7510498
257,-84.3317766,33.7533827
258,-84.331759,33.75157
259,-84.331821,33.747431
260,-84.33196,33.745098
261,-84.3320688,33.7439444
262,-84.332158,33.738889
263,-84.332136,33.737932
264,-84.340829,33.793012
265,-84.347848,33.7425944
266,-84.3136761,33.7499812
267,-84.3118506,33.7491584
268,-84.3117897,33.7491241
269,-84.3112207,33.748828
270,-84.3102287,33.748534
271,-84.3089776,33.7482012
272,-84.3083882,33.7480418
273,-84.329918,33.730736
274,-84.326768,33.729786
275,-84.344707,33.735185
276,-84.341734,33.736156
277,-84.2960694,33.7514919
278,-84.295992,33.753638
279,-84.2933175,33.743087
280,-84.2926145,33.7431498
281,-84.2915953,33.743491
282,-84.2940557,33.7425791
283,-84.2933393,33.7424904
284,-84.347193,33.741898
285,-84.34473,33.739632
286,-84.343997,33.739063
287,-84.342851,33.738121
288,-84.342707,33.737933
289,-84.34219,33.737023
290,-84.340314,33.734004
291,-84.340047,33.733772
292,-84.3394029,33.7332116
293,-84.338722,33.732606
294,-84.337212,33.7312726
295,-84.3477187,33.7443029
296,-84.3476946,33.7435221
297,-84.348973,33.765581
298,-84.34697,33.767198
299,-84.3456582,33.7680522
300,-84.3450454,33.7682873
301,-84.3446104,33.768445
302,-84.3440092,33.7687663
303,-84.343821,33.768927
304,-84.3424758,33.7712048
305,-84.3416829,33.7718425
306,-84.3303589,33.7533772
307,-84.330395,33.751556
308,-84.330422,33.747429
309,-84.3302086,33.7602221
310,-84.329151,33.760046
311,-84.3291936,33.7547545
312,-84.3291921,33.7533727
313,-84.3438506,33.756427
314,-84.3420072,33.7564242
315,-84.312823,33.755715
316,-84.312815,33.756873
317,-84.312836,33.757841
318,-84.312823,33.761095
319,-84.3447134,33.7534326
320,-84.344652,33.755429
321,-84.3416283,33.7711919
322,-84.3393086,33.7711329
323,-84.3262329,33.7533519
324,-84.326245,33.749471
325,-84.3428921,33.7425598
326,-84.34133,33.7424313
327,-84.3399336,33.7423038
328,-84.3383345,33.7423029
329,-84.3162079,33.7511073
330,-84.3162028,33.7496199
331,-84.2932405,33.753433
332,-84.337313,33.755388
333,-84.3372908,33.7562961
334,-84.3374813,33.7576832
335,-84.3374585,33.7579273
336,-84.3374585,33.758166
337,-84.3374511,33.759253
338,-84.3374477,33.7596689
339,-84.293516,33.7515797
340,-84.345445,33.747568
341,-84.3359682,33.7716546
342,-84.33303,33.771628
343,-84.331834,33.764852
344,-84.331835,33.767477
345,-84.331841,33.769007
346,-84.331859,33.770512
